gender,abonoment_type,name_personal_trainer,uses_sauna,drink_abo,berry_boost,black_currant,coconut_pineapple,lemon,orange,passion_fruit
Male,Standard,Hanna,False,True,0,0,0,1,0,1
Male,Premium,Hanna,True,True,0,0,0,0,1,0
Male,Premium,No one,True,True,0,0,0,0,1,0
Female,Premium,Mike,True,False,0,0,0,0,0,0
Female,Standard,Mike,False,True,0,0,0,0,0,1
Female,Standard,No one,False,True,0,0,1,0,0,0
Female,Premium,No one,True,False,0,0,0,0,0,0
Male,Standard,No one,True,True,0,0,0,1,0,0
Female,Standard,No one,False,False,0,0,0,0,0,0
Female,Standard,No one,True,True,0,0,0,1,1,0
Male,Premium,Mike,False,False,0,0,0,0,0,0
Female,Standard,No one,True,False,0,0,0,0,0,0
Female,Premium,Chantal,False,False,0,0,0,0,0,0
Male,Premium,Jeffrey,True,True,0,0,0,0,0,1
Female,Premium,No one,True,True,0,0,0,1,0,1
Female,Standard,Mike,True,True,0,1,0,0,0,1
Male,Standard,No one,False,False,0,0,0,0,0,0
Male,Premium,Mike,False,True,1,0,0,0,1,0
Male,Standard,No one,False,False,0,0,0,0,0,0
Male,Premium,Mike,True,False,0,0,0,0,0,0
Male,Premium,No one,True,False,0,0,0,0,0,0
Male,Premium,Hanna,True,False,0,0,0,0,0,0
Male,Premium,Chantal,True,True,0,0,0,0,1,1
Male,Standard,Mike,False,True,0,1,0,1,0,0
Male,Standard,Hanna,False,True,0,0,0,0,1,0
Female,Premium,Chantal,True,True,0,0,0,0,0,1
Female,Standard,Jeffrey,False,True,0,0,0,0,0,1
Male,Standard,Mike,True,True,0,0,0,0,1,0
Female,Standard,Hanna,False,False,0,0,0,0,0,0
Female,Premium,Hanna,True,False,0,0,0,0,0,0
Female,Standard,Chantal,False,True,1,0,0,1,0,0
Male,Standard,No one,True,True,0,0,0,1,0,0
Male,Premium,Jeffrey,True,True,1,0,0,0,0,0
Male,Standard,No one,False,False,0,0,0,0,0,0
Male,Standard,Chantal,True,False,0,0,0,0,0,0
Male,Premium,Chantal,True,False,0,0,0,0,0,0
Female,Premium,No one,True,False,0,0,0,0,0,0
Male,Standard,No one,True,False,0,0,0,0,0,0
Female,Premium,No one,False,False,0,0,0,0,0,0
Male,Standard,Mike,False,True,0,0,0,1,0,1
Female,Standard,Hanna,False,True,0,0,0,1,0,0
Female,Standard,No one,False,False,0,0,0,0,0,0
Male,Standard,No one,True,True,0,1,0,0,0,0
Male,Premium,No one,True,False,0,0,0,0,0,0
Male,Standard,No one,False,False,0,0,0,0,0,0
Male,Standard,No one,False,False,0,0,0,0,0,0
Female,Premium,Chantal,False,True,1,0,1,0,0,0
Male,Premium,Chantal,False,False,0,0,0,0,0,0
Female,Standard,No one,False,False,0,0,0,0,0,0
Male,Premium,Jeffrey,True,True,0,0,0,0,0,1
Male,Premium,No one,True,True,0,1,0,1,0,0
Female,Standard,Chantal,True,False,0,0,0,0,0,0
Male,Premium,No one,True,False,0,0,0,0,0,0
Male,Standard,Hanna,False,False,0,0,0,0,0,0
Male,Standard,No one,False,True,1,0,0,0,0,0
Female,Standard,Mike,True,True,0,0,0,0,0,1
Male,Standard,Mike,False,True,0,0,0,1,1,0
Female,Premium,No one,False,True,0,0,1,1,0,0
Male,Premium,No one,True,False,0,0,0,0,0,0
Male,Standard,No one,False,False,0,0,0,0,0,0
Male,Premium,No one,False,False,0,0,0,0,0,0
Female,Standard,No one,True,False,0,0,0,0,0,0
Female,Premium,No one,True,False,0,0,0,0,0,0
Female,Premium,No one,False,True,1,0,0,0,0,1
Male,Premium,No one,True,True,0,1,1,0,0,0
Male,Premium,Jeffrey,False,True,0,0,0,1,0,0
Male,Standard,Mike,False,True,0,1,1,0,0,0
Male,Premium,Jeffrey,True,True,0,0,1,0,0,0
Female,Premium,Jeffrey,True,True,0,0,1,0,0,0
Male,Standard,Jeffrey,True,True,0,0,0,0,1,1
Male,Standard,Mike,False,True,0,1,1,0,0,0
Male,Premium,No one,False,True,0,1,0,0,0,0
Female,Premium,Chantal,True,True,0,0,1,0,0,1
Male,Premium,Jeffrey,False,True,0,0,0,0,1,0
Male,Premium,Chantal,False,True,0,0,0,1,0,0
Male,Standard,No one,False,True,1,1,0,0,0,0
Male,Standard,Chantal,False,False,0,0,0,0,0,0
Male,Premium,Jeffrey,True,True,0,0,1,1,0,0
Male,Premium,Hanna,False,True,0,0,1,0,0,0
Male,Premium,Chantal,False,True,0,0,0,1,0,0
Female,Standard,Chantal,True,False,0,0,0,0,0,0
Male,Premium,No one,True,False,0,0,0,0,0,0
Male,Premium,No one,False,False,0,0,0,0,0,0
Female,Standard,Chantal,False,False,0,0,0,0,0,0
Female,Standard,No one,True,False,0,0,0,0,0,0
Male,Premium,Mike,False,True,0,0,0,1,0,0
Male,Standard,Jeffrey,True,True,0,0,1,0,0,0
Female,Premium,No one,False,True,0,0,1,0,0,1
Male,Standard,No one,True,False,0,0,0,0,0,0
Male,Premium,Mike,False,True,0,0,0,1,0,0
Male,Premium,Chantal,True,True,0,0,0,0,0,1
Male,Premium,Mike,False,False,0,0,0,0,0,0
Male,Standard,No one,False,True,0,0,1,0,0,0
Female,Standard,No one,False,False,0,0,0,0,0,0
Male,Standard,No one,False,True,0,0,0,0,1,0
Male,Standard,No one,False,False,0,0,0,0,0,0
Female,Premium,Jeffrey,True,False,0,0,0,0,0,0
Male,Premium,Chantal,False,True,1,0,0,0,1,0
Male,Premium,No one,False,False,0,0,0,0,0,0
Male,Standard,No one,False,False,0,0,0,0,0,0
Male,Premium,No one,True,False,0,0,0,0,0,0
Male,Standard,Mike,False,True,0,0,0,1,0,0
Female,Standard,No one,True,False,0,0,0,0,0,0
Female,Standard,No one,True,False,0,0,0,0,0,0
Female,Standard,Hanna,False,True,0,1,0,1,0,0
Female,Standard,No one,False,False,0,0,0,0,0,0
Female,Premium,Jeffrey,True,True,0,0,1,0,0,0
Female,Premium,No one,True,True,0,0,1,0,0,1
Male,Standard,Jeffrey,True,False,0,0,0,0,0,0
Male,Premium,No one,False,True,0,0,0,0,0,1
Female,Premium,Hanna,False,True,0,0,0,0,0,1
Male,Premium,Mike,True,False,0,0,0,0,0,0
Female,Premium,Mike,False,True,1,0,0,0,0,0
Female,Premium,Hanna,True,True,0,0,0,1,0,0
Male,Standard,Jeffrey,False,False,0,0,0,0,0,0
Female,Premium,No one,False,False,0,0,0,0,0,0
Male,Standard,No one,True,True,0,0,1,0,0,0
Female,Premium,Mike,True,False,0,0,0,0,0,0
Female,Premium,No one,False,False,0,0,0,0,0,0
Male,Standard,No one,False,False,0,0,0,0,0,0
Male,Standard,No one,False,True,0,1,0,0,0,0
Female,Premium,No one,False,True,1,0,0,0,0,0
Male,Premium,Jeffrey,False,True,0,0,0,1,0,0
Male,Standard,No one,True,False,0,0,0,0,0,0
Male,Premium,Mike,True,True,0,0,1,0,0,0
Female,Premium,Mike,False,False,0,0,0,0,0,0
Male,Standard,No one,False,True,0,1,1,0,0,0
Male,Standard,No one,True,True,0,1,0,0,0,1
Female,Premium,Chantal,False,True,0,0,0,1,0,0
Female,Standard,No one,False,True,0,0,1,0,0,0
Male,Standard,No one,True,False,0,0,0,0,0,0
Female,Premium,Chantal,True,True,0,1,0,0,0,0
Female,Standard,Jeffrey,True,False,0,0,0,0,0,0
Male,Standard,Hanna,True,False,0,0,0,0,0,0
Female,Standard,Mike,True,True,0,1,0,0,0,0
Female,Standard,No one,True,False,0,0,0,0,0,0
Female,Standard,No one,True,True,0,0,1,0,0,0
Male,Premium,Mike,False,False,0,0,0,0,0,0
Male,Premium,No one,False,False,0,0,0,0,0,0
Male,Standard,Mike,True,False,0,0,0,0,0,0
Male,Standard,Hanna,False,False,0,0,0,0,0,0
Male,Premium,Chantal,True,False,0,0,0,0,0,0
Male,Standard,Chantal,True,False,0,0,0,0,0,0
Female,Standard,No one,False,False,0,0,0,0,0,0
Male,Standard,No one,True,False,0,0,0,0,0,0
Male,Standard,No one,True,False,0,0,0,0,0,0
Female,Standard,Hanna,False,True,0,0,1,0,0,0
Male,Premium,Mike,True,True,0,1,0,1,0,0
Female,Standard,Hanna,False,True,0,0,0,1,0,0
Male,Standard,Chantal,True,True,0,0,1,0,1,0
Male,Premium,Chantal,True,False,0,0,0,0,0,0
Male,Standard,No one,True,True,0,1,0,0,0,0
Female,Premium,Mike,False,True,1,0,0,0,0,0
Female,Standard,No one,False,False,0,0,0,0,0,0
Male,Premium,No one,False,True,0,0,0,1,0,0
Male,Premium,Mike,False,True,0,1,1,0,0,0
Male,Premium,No one,True,False,0,0,0,0,0,0
Male,Premium,No one,True,True,0,0,1,0,0,0
Female,Premium,Mike,True,False,0,0,0,0,0,0
Female,Standard,No one,False,False,0,0,0,0,0,0
Female,Premium,No one,True,True,1,0,0,0,0,0
Male,Standard,No one,False,True,0,1,0,0,0,1
Female,Premium,Hanna,True,True,0,0,0,1,0,1
Female,Premium,No one,False,False,0,0,0,0,0,0
Male,Standard,No one,False,True,0,0,1,0,1,0
Female,Standard,No one,True,True,0,0,0,1,0,1
Male,Standard,Jeffrey,False,False,0,0,0,0,0,0
Female,Premium,Chantal,True,False,0,0,0,0,0,0
Female,Premium,Mike,False,True,0,0,0,0,1,1
Male,Premium,No one,False,False,0,0,0,0,0,0
Female,Premium,Chantal,False,True,0,0,1,0,1,0
Male,Standard,Jeffrey,True,False,0,0,0,0,0,0
Female,Standard,Hanna,True,False,0,0,0,0,0,0
Male,Standard,No one,False,False,0,0,0,0,0,0
Male,Standard,No one,False,False,0,0,0,0,0,0
Male,Standard,Chantal,True,True,0,0,0,1,0,0
Female,Standard,Chantal,True,False,0,0,0,0,0,0
Female,Premium,No one,True,False,0,0,0,0,0,0
Male,Standard,Mike,True,False,0,0,0,0,0,0
Male,Standard,Chantal,True,False,0,0,0,0,0,0
Female,Standard,Chantal,False,True,0,0,0,1,1,0
Male,Premium,No one,False,False,0,0,0,0,0,0
Male,Standard,No one,True,True,0,0,1,0,0,1
Male,Standard,No one,False,True,0,0,1,0,0,0
Male,Premium,Mike,True,False,0,0,0,0,0,0
Male,Standard,Chantal,True,True,0,0,1,1,0,0
Male,Premium,Chantal,False,True,1,0,0,0,0,0
Male,Premium,Chantal,True,False,0,0,0,0,0,0
Male,Premium,No one,False,True,0,1,0,1,0,0
Female,Standard,Chantal,True,True,1,0,0,1,0,0
Male,Premium,No one,False,True,0,0,1,0,0,1
Male,Standard,Chantal,False,False,0,0,0,0,0,0
Male,Premium,Chantal,True,False,0,0,0,0,0,0
Female,Standard,Chantal,True,False,0,0,0,0,0,0
Male,Standard,No one,True,False,0,0,0,0,0,0
Female,Standard,No one,False,True,0,0,1,1,0,0
Female,Standard,No one,True,True,0,0,0,0,0,1
Female,Standard,No one,True,False,0,0,0,0,0,0
Male,Premium,No one,True,False,0,0,0,0,0,0
Female,Standard,No one,True,True,0,0,0,0,0,1
Female,Premium,No one,False,True,0,0,0,0,0,1
Female,Premium,No one,True,True,0,0,0,0,0,1
Male,Premium,Hanna,True,False,0,0,0,0,0,0
Male,Standard,No one,True,False,0,0,0,0,0,0
Female,Premium,No one,True,False,0,0,0,0,0,0
Female,Standard,Chantal,False,False,0,0,0,0,0,0
Male,Premium,Chantal,False,True,0,1,0,0,1,0
Male,Premium,No one,False,True,0,0,1,0,0,1
Female,Standard,Chantal,False,True,0,0,0,0,1,1
Male,Premium,Jeffrey,False,False,0,0,0,0,0,0
Female,Standard,No one,True,False,0,0,0,0,0,0
Male,Standard,Jeffrey,True,True,0,0,1,0,0,0
Female,Premium,Mike,True,False,0,0,0,0,0,0
Female,Standard,No one,True,False,0,0,0,0,0,0
Male,Standard,Mike,False,False,0,0,0,0,0,0
Female,Premium,No one,False,False,0,0,0,0,0,0
Female,Standard,No one,True,False,0,0,0,0,0,0
Male,Standard,No one,False,True,1,0,0,0,1,0
Female,Standard,Jeffrey,False,False,0,0,0,0,0,0
Female,Standard,Jeffrey,False,True,0,0,0,0,0,1
Male,Standard,No one,False,False,0,0,0,0,0,0
Female,Standard,No one,False,False,0,0,0,0,0,0
Female,Premium,Mike,True,True,1,0,0,0,0,0
Female,Premium,No one,True,False,0,0,0,0,0,0
Male,Standard,No one,False,False,0,0,0,0,0,0
Male,Standard,No one,True,False,0,0,0,0,0,0
Female,Standard,No one,False,True,0,0,0,1,1,0
Female,Standard,No one,False,False,0,0,0,0,0,0
Female,Standard,Hanna,False,False,0,0,0,0,0,0
Female,Standard,Jeffrey,False,False,0,0,0,0,0,0
Female,Standard,Mike,True,False,0,0,0,0,0,0
Female,Premium,No one,False,True,0,0,0,1,0,1
Male,Standard,Chantal,False,True,1,0,0,1,0,0
Female,Standard,Chantal,True,False,0,0,0,0,0,0
Female,Premium,Hanna,True,True,0,0,0,0,0,1
Male,Standard,Chantal,False,True,0,0,1,0,0,0
Female,Standard,No one,False,True,0,1,0,1,0,0
Male,Premium,Chantal,False,False,0,0,0,0,0,0
Male,Premium,Jeffrey,True,True,0,1,0,0,0,0
Female,Premium,Hanna,True,True,0,1,0,0,0,0
Male,Premium,No one,True,False,0,0,0,0,0,0
Female,Premium,Jeffrey,True,True,0,1,1,0,0,0
Female,Premium,No one,True,False,0,0,0,0,0,0
Female,Premium,Chantal,True,False,0,0,0,0,0,0
Male,Premium,Mike,False,False,0,0,0,0,0,0
Female,Premium,No one,False,True,1,0,0,0,1,0
Male,Premium,Mike,False,False,0,0,0,0,0,0
Male,Premium,No one,True,True,0,0,0,1,0,0
Female,Premium,No one,False,False,0,0,0,0,0,0
Male,Standard,No one,False,True,1,0,0,0,0,0
Male,Premium,No one,False,True,0,0,1,1,0,0
Male,Premium,Hanna,True,True,0,1,0,0,0,0
Female,Standard,Chantal,True,False,0,0,0,0,0,0
Female,Premium,No one,True,True,0,1,1,0,0,0
Female,Premium,Hanna,False,True,0,0,0,1,1,0
Male,Premium,Hanna,True,False,0,0,0,0,0,0
Male,Premium,Jeffrey,True,True,0,1,0,0,0,0
Male,Standard,Jeffrey,False,False,0,0,0,0,0,0
Female,Premium,Chantal,True,False,0,0,0,0,0,0
Female,Standard,Hanna,False,False,0,0,0,0,0,0
Female,Standard,No one,True,True,1,0,0,0,0,1
Female,Standard,Jeffrey,False,False,0,0,0,0,0,0
Female,Standard,No one,False,True,0,0,1,0,0,1
Female,Premium,Hanna,True,True,0,1,0,0,0,0
Female,Standard,Chantal,False,False,0,0,0,0,0,0
Female,Premium,No one,True,False,0,0,0,0,0,0
Female,Standard,No one,True,False,0,0,0,0,0,0
Female,Premium,Hanna,True,True,0,0,1,1,0,0
Male,Premium,Mike,True,False,0,0,0,0,0,0
Male,Standard,No one,True,False,0,0,0,0,0,0
Female,Premium,Hanna,True,True,0,1,0,0,0,0
Female,Premium,No one,True,True,0,0,0,0,1,0
Female,Premium,Chantal,False,True,0,0,0,0,0,1
Female,Premium,Chantal,True,True,1,1,0,0,0,0
Male,Premium,Jeffrey,False,True,0,0,0,1,0,0
Female,Standard,Chantal,True,False,0,0,0,0,0,0
Female,Standard,No one,False,True,0,1,0,1,0,0
Male,Premium,Chantal,True,True,0,0,1,0,0,0
Female,Standard,Jeffrey,True,False,0,0,0,0,0,0
Male,Premium,Mike,True,False,0,0,0,0,0,0
Female,Standard,No one,False,False,0,0,0,0,0,0
Male,Standard,Chantal,False,True,1,0,0,0,0,0
Male,Premium,Mike,True,False,0,0,0,0,0,0
Female,Standard,No one,False,False,0,0,0,0,0,0
Female,Premium,Chantal,True,False,0,0,0,0,0,0
Male,Premium,No one,True,False,0,0,0,0,0,0
Female,Standard,No one,True,True,0,0,1,0,0,0
Female,Premium,No one,False,True,1,0,1,0,0,0
Female,Premium,No one,False,False,0,0,0,0,0,0
Male,Premium,Hanna,False,True,0,1,1,0,0,0
Female,Standard,Chantal,True,True,0,1,0,0,1,0
Female,Standard,No one,False,False,0,0,0,0,0,0
Female,Premium,Chantal,True,False,0,0,0,0,0,0
Female,Premium,No one,True,True,0,0,1,0,0,0
Male,Premium,Chantal,False,False,0,0,0,0,0,0
Female,Premium,No one,False,False,0,0,0,0,0,0
Male,Premium,Mike,False,True,0,1,0,0,0,0
Female,Standard,No one,False,True,1,0,0,0,0,0
Male,Standard,Jeffrey,True,True,0,0,0,1,0,1
Female,Standard,Chantal,False,True,0,0,1,0,0,0
Male,Premium,No one,True,True,0,1,0,0,1,0
Male,Standard,Jeffrey,True,False,0,0,0,0,0,0
Female,Premium,No one,True,True,0,0,0,0,1,0
Female,Standard,No one,False,False,0,0,0,0,0,0
Female,Standard,Chantal,True,True,1,0,0,0,0,1
Male,Standard,Mike,False,False,0,0,0,0,0,0
Male,Premium,No one,True,True,0,0,1,0,0,0
Male,Premium,Mike,False,True,0,0,0,0,0,1
Male,Standard,Chantal,True,True,0,0,0,1,1,0
Male,Premium,No one,True,False,0,0,0,0,0,0
Female,Standard,No one,True,True,1,0,0,1,0,0
Female,Standard,Hanna,False,False,0,0,0,0,0,0
Female,Standard,Jeffrey,True,False,0,0,0,0,0,0
Male,Standard,Hanna,True,False,0,0,0,0,0,0
Female,Premium,No one,False,True,0,1,0,0,0,0
Female,Standard,Jeffrey,True,True,1,0,0,0,1,0
Male,Premium,No one,True,True,0,0,0,1,1,0
Female,Premium,No one,False,True,0,1,0,0,0,1
Female,Standard,No one,True,True,0,0,0,0,0,1
Male,Premium,No one,False,True,0,1,0,0,0,0
Female,Premium,Jeffrey,False,False,0,0,0,0,0,0
Female,Standard,Jeffrey,False,True,0,1,0,1,0,0
Female,Standard,Jeffrey,False,True,0,0,0,0,1,0
Female,Premium,Chantal,True,False,0,0,0,0,0,0
Female,Standard,Mike,False,False,0,0,0,0,0,0
Male,Standard,Chantal,True,False,0,0,0,0,0,0
Female,Premium,Hanna,False,True,1,0,0,0,0,0
Female,Standard,Jeffrey,True,True,0,1,0,0,1,0
Male,Standard,Jeffrey,False,False,0,0,0,0,0,0
Female,Premium,Jeffrey,False,False,0,0,0,0,0,0
Male,Premium,No one,True,True,0,1,0,0,1,0
Male,Premium,No one,True,True,0,0,0,1,0,0
Female,Standard,No one,False,False,0,0,0,0,0,0
Female,Premium,Hanna,True,False,0,0,0,0,0,0
Female,Standard,No one,True,True,0,0,0,0,1,0
Female,Premium,Jeffrey,True,True,1,0,0,0,0,0
Male,Premium,Mike,True,False,0,0,0,0,0,0
Female,Premium,Chantal,True,False,0,0,0,0,0,0
Male,Premium,Jeffrey,False,False,0,0,0,0,0,0
Male,Premium,Chantal,True,True,0,1,0,0,1,0
Female,Standard,Chantal,True,True,0,0,0,1,0,0
Male,Standard,No one,True,True,0,0,0,1,1,0
Male,Standard,Mike,False,False,0,0,0,0,0,0
Male,Standard,Jeffrey,False,True,0,0,0,0,1,0
Male,Standard,Jeffrey,True,False,0,0,0,0,0,0
Male,Standard,Mike,True,True,0,0,0,0,1,0
Female,Premium,No one,False,True,1,0,0,0,0,0
Female,Standard,Mike,True,False,0,0,0,0,0,0
Male,Premium,Chantal,True,True,1,0,0,0,0,0
Male,Premium,No one,True,False,0,0,0,0,0,0
Female,Standard,No one,False,True,1,0,0,0,0,0
Male,Premium,No one,False,True,0,0,0,0,0,1
Female,Premium,Mike,True,True,0,1,1,0,0,0
Male,Standard,No one,False,True,0,0,0,0,1,1
Male,Standard,No one,False,False,0,0,0,0,0,0
Male,Standard,Mike,True,True,0,0,1,0,1,0
Female,Standard,Chantal,True,False,0,0,0,0,0,0
Male,Premium,Mike,False,False,0,0,0,0,0,0
Male,Premium,Mike,False,True,1,0,0,0,0,0
Female,Standard,Chantal,False,False,0,0,0,0,0,0
Female,Premium,Jeffrey,False,False,0,0,0,0,0,0
Male,Standard,No one,True,False,0,0,0,0,0,0
Female,Standard,No one,False,True,0,1,0,0,0,0
Female,Standard,No one,True,True,0,0,0,0,1,1
Male,Standard,No one,True,True,0,0,0,1,0,1
Male,Premium,Jeffrey,False,True,0,0,1,0,0,0
Female,Premium,No one,False,False,0,0,0,0,0,0
Male,Premium,Jeffrey,True,True,0,0,0,0,1,0
Female,Premium,No one,False,True,1,0,0,0,0,0
Male,Standard,No one,True,True,0,0,1,1,0,0
Male,Premium,No one,False,False,0,0,0,0,0,0
Male,Premium,No one,False,True,0,0,0,1,0,0
Female,Standard,Chantal,False,False,0,0,0,0,0,0
Female,Standard,No one,False,False,0,0,0,0,0,0
Male,Standard,No one,False,True,1,0,0,0,0,0
Female,Premium,No one,False,True,0,0,1,0,0,0
Female,Premium,Chantal,True,True,1,1,0,0,0,0
Male,Standard,Jeffrey,True,False,0,0,0,0,0,0
Female,Premium,No one,False,False,0,0,0,0,0,0
Male,Standard,Jeffrey,False,False,0,0,0,0,0,0
